STATION,NODE,YEAR,WEEK,PEAK,SHOULDER,OFFPEAK
Glenbrook_cogen,NI,2018,15,66.985,71.449,72.51
Glenbrook_cogen,NI,2018,16,73.467,73.978,76.841
Glenbrook_cogen,NI,2018,17,78.114,78.138,78.403
Glenbrook_cogen,NI,2018,18,69.292,72.182,73.57
Glenbrook_cogen,NI,2018,19,73.908,74.235,74.351
Glenbrook_cogen,NI,2018,20,65.008,67.436,69.397
Glenbrook_cogen,NI,2018,21,67.764,66.628,68.169
Glenbrook_cogen,NI,2018,22,70.269,70.671,67.751
Glenbrook_cogen,NI,2018,23,69.534,61.885,66.728
Glenbrook_cogen,NI,2018,24,68.854,63.842,65.677
Glenbrook_cogen,NI,2018,25,67.288,54.837,54.641
Glenbrook_cogen,NI,2018,26,60.75,65.247,64.043
Glenbrook_cogen,NI,2018,27,73.784,70.061,67.634
Glenbrook_cogen,NI,2018,28,65.208,62.283,65.353
